state,afr_ancs,eur_ancs,ami_ancs,region_ori
Nuevo León,0.053107,0.388132,0.55267,north
Chihuahua,0.074606,0.430174,0.48662300000000003,north
Nuevo León,0.037215,0.313645,0.64912,north
Nuevo León,0.047667,0.327956,0.624357,north
Coahuila,0.086602,0.335894,0.568881,north
San Luis Potosí,0.026076,0.396763,0.568404,north
Nuevo León,0.043323,0.455859,0.500799,north
Zacatecas,0.088437,0.284458,0.620488,north
Nuevo León,0.055787,0.288112,0.649564,north
Nuevo León,0.052375,0.366485,0.572376,north
San Luis Potosí,0.035409,0.242447,0.705252,north
Nuevo León,0.061967,0.216766,0.710896,north
San Luis Potosí,0.049968,0.287443,0.658097,north
Nuevo León,0.055014,0.184784,0.751162,north
Nuevo León,0.048299,0.297615,0.64386,north
Nuevo León,0.053668,0.24001,0.70507,north
Zacatecas,0.057187,0.403473,0.539319,north
Nuevo León,0.061123,0.292919,0.628536,north
Nuevo León,0.044302,0.50022,0.44945,north
Nuevo León,0.050114,0.593885,0.344576,north
Nuevo León,0.053234,0.36817,0.572863,north
Coahuila,0.086344,0.307301,0.595528,north
Zacatecas,0.07146,0.239122,0.674053,north
Nuevo León,0.033926,0.2886,0.674785,north
Nuevo León,0.052305,0.553026,0.390787,north
San Luis Potosí,0.059843,0.35336,0.575947,north
Nuevo León,0.05605,0.334287,0.603128,north
Nuevo León,0.038328,0.551956,0.405615,north
Nuevo León,0.084419,0.351017,0.564544,north
Nuevo León,0.052842,0.303017,0.635701,north
Nuevo León,0.06212,0.340534,0.597326,north
Nuevo León,0.081672,0.226852,0.678434,north
Veracruz,0.00416,0.118137,0.86391,center
Nuevo León,0.051244,0.330881,0.611783,north
Zacatecas,0.050529,0.297058,0.652394,north
Veracruz,0.015086,0.211762,0.763251,center
Nuevo León,0.062167,0.27425,0.656428,north
Tamaulipas,0.034025,0.286192,0.663165,north
Nuevo León,0.070397,0.429108,0.500475,north
Coahuila,0.042398,0.418461,0.528946,north
Puebla,5.8e-4,0.105954,0.892832,center
Nuevo León,0.064411,0.266668,0.668898,north
Nuevo León,0.049931,0.293734,0.647774,north
Nuevo León,0.040744,0.321334,0.624819,north
Nuevo León,0.006384,0.139982,0.846073,north
