region	group1	group2	group3	group4
ORI	1e-05	0.383546	0.076933	0.539512
ORI	1e-05	0.387966	0.0561	0.555924
ORI	0.00147	0.251703	0.065183	0.681645
ORI	1e-05	0.312793	0.054659	0.632539
ORI	1e-05	0.262797	0.041794	0.695399
ORI	0.014759	0.191832	0.054972	0.738437
ORI	0.008847	0.213636	0.045015	0.732502
ORI	0.001909	0.282438	0.053617	0.662035
ORI	1e-05	0.430073	0.070506	0.499411
ORI	1e-05	0.281233	0.067936	0.650821
ORI	1e-05	0.529136	0.032697	0.438157
ORI	1e-05	0.36669	0.05841	0.57489
ORI	1e-05	0.318523	0.042243	0.639224
ORI	1e-05	0.286385	0.054634	0.658972
ORI	1e-05	0.37373	0.064194	0.562066
ORI	0.001561	0.283997	0.030011	0.684431
ORI	0.010299	0.305734	0.074654	0.609313
ORI	1e-05	0.415732	0.031997	0.55226
ORI	0.007931	1.7e-05	0.000702	0.99135
ORI	0.003254	0.35631	0.030126	0.61031
ORI	0.002482	0.321666	0.062901	0.612952
ORI	0.012049	0.196776	0.056685	0.734489
ORI	0.003415	0.286233	0.046461	0.66389
ORI	0.002857	0.28883	0.065192	0.643122
ORI	1e-05	0.326819	0.061505	0.611666
ORI	0.000131	0.594749	0.03792	0.367199
ORI	1e-05	0.379845	0.052808	0.567337
ORI	1e-05	0.39091	0.032111	0.576969
ORI	1e-05	0.329309	0.055381	0.6153
ORI	1e-05	0.595792	0.045223	0.358975
ORI	1e-05	0.389355	0.081292	0.529343
ORI	0.002614	0.302903	0.073717	0.620766
ORI	0.002467	0.227733	0.046946	0.722853
ORI	0.005797	0.324668	0.09778	0.571755
ORI	1e-05	0.513123	0.056299	0.430569
ORI	1e-05	0.348583	0.068888	0.582519
ORI	1e-05	0.36256	0.049723	0.587707
ORI	1e-05	0.714448	0.031313	0.254229
ORI	1e-05	0.359176	0.072284	0.56853
ORI	0.010138	0.246609	0.046687	0.696565
ORI	1e-05	0.249555	0.030865	0.71957
ORI	0.011594	0.326002	0.044308	0.618096
ORI	0.006728	0.261484	0.044221	0.687566
ORI	0.003326	0.320699	0.074377	0.601598
ORI	0.00553	0.341757	0.061263	0.59145
ORI	1e-05	0.384178	0.052488	0.563324
ORI	1e-05	0.629186	0.028769	0.342035
ORI	0.007196	0.296793	0.083692	0.612319
ORI	1e-05	0.340829	0.051015	0.608146
ORI	0.000584	0.356439	0.066929	0.576049
ORI	0.002814	0.376396	0.115864	0.504925
ORI	0.005196	0.253642	0.059268	0.681894
ORI	1e-05	0.394761	0.040375	0.564853
ORI	0.0018	0.351384	0.066586	0.58023
ORI	0.005907	0.237441	0.069501	0.687151
ORI	0.001629	0.285262	0.073352	0.639758
ORI	1e-05	0.35859	0.05426	0.58714
ORI	0.006416	0.234698	0.029164	0.729722
ORI	1e-05	0.450918	0.051582	0.49749
ORI	1e-05	0.406463	0.050428	0.5431
ORI	1e-05	0.319112	0.07661	0.604268
ORI	1e-05	0.350511	0.030655	0.618824
ORI	1e-05	0.311016	0.042722	0.646252
ORI	0.0027	0.28881	0.037358	0.671132
ORI	0.003665	0.340777	0.04212	0.613439
ORI	0.002364	0.425738	0.042857	0.529041
ORI	0.02605	0.31605	0.177947	0.479953
ORI	1e-05	0.247346	0.088911	0.663733
ORI	1e-05	0.445788	0.057047	0.497154
ORI	0.004908	0.295737	0.027733	0.671622
ORI	0.0021	0.320297	0.037282	0.640322
ORI	0.005253	0.294554	0.04622	0.653973
ORI	0.003408	0.399196	0.050147	0.547249
ORI	1e-05	0.364167	0.052959	0.582864
ORI	1e-05	0.281529	0.034877	0.683584
ORI	0.001809	0.326062	0.054526	0.617603
ORI	1e-05	0.36004	0.060949	0.579001
ORI	0.002268	0.358533	0.042898	0.596301
ORI	1e-05	0.338877	0.038016	0.623098
ORI	0.008408	0.053922	0.00227	0.9354
ORI	1e-05	0.366082	0.039158	0.59475
ORI	1e-05	0.272231	0.048605	0.679154
ORI	1e-05	0.264415	0.067623	0.667952
ORI	1e-05	0.305628	0.049967	0.644394
ORI	0.001903	0.363745	0.043926	0.590426
ORI	0.003309	0.157711	0.026555	0.812425
ORI	1e-05	0.375655	0.031109	0.593227
ORI	0.001568	0.354215	0.060922	0.583295
ORI	0.0043	0.000618	2.1e-05	0.995061
ORI	1e-05	0.692324	0.037718	0.269949
ORI	0.002634	0.287484	0.03671	0.673173
ORI	1e-05	0.43853	0.045909	0.515551
ORI	0.012654	0.158866	0.020825	0.807655
ORI	1e-05	0.249336	0.061073	0.68958
ORI	0.000836	0.262438	0.04208	0.694645
ORI	1e-05	0.404586	0.052405	0.542999
ORI	1e-05	0.549623	0.04685	0.403517
ORI	0.008689	0.344916	0.066088	0.580307
