region	group1	group2	group3	group4	group5	group6	group7
ORI	0.3561	0.549671	0.065328	1e-05	0.004255	1e-05	0.024626
ORI	0.286682	0.669324	0.030567	1e-05	0.007857	1e-05	0.00555
ORI	0.30327	0.596581	0.075312	0.004853	0.01503	1e-05	0.004944
ORI	0.38828	0.542078	0.03372	0.004874	1e-05	1e-05	0.031029
ORI	1e-05	0.990776	0.000658	0.001679	0.006447	1e-05	0.000421
ORI	0.34141	0.595453	0.030835	0.000216	0.010946	1e-05	0.021129
ORI	0.309377	0.59854	0.063585	1e-05	0.009809	1e-05	0.01867
ORI	0.19994	0.720798	0.057276	0.003527	0.01485	1e-05	0.003599
ORI	0.273654	0.650266	0.047314	1e-05	0.002452	0.00534	0.020963
ORI	0.277895	0.629938	0.065968	0.004253	1e-05	0.006708	0.015227
ORI	0.307584	0.600971	0.062696	0.005357	1e-05	1e-05	0.023372
ORI	0.579683	0.361424	0.038703	0.006129	1e-05	0.000975	0.013075
ORI	0.383183	0.558696	0.054459	0.000264	1e-05	1e-05	0.003379
ORI	0.388687	0.566599	0.032452	0.012232	1e-05	1e-05	1e-05
ORI	0.313654	0.60478	0.057072	1.1e-05	1e-05	1e-05	0.024463
ORI	0.555027	0.349698	0.045908	0.012148	0.002751	1e-05	0.034458
ORI	0.368407	0.518204	0.082722	1e-05	0.003403	1e-05	0.027244
ORI	0.307312	0.608039	0.074043	1e-05	0.008846	1e-05	0.00174
ORI	0.237932	0.707858	0.047107	1e-05	0.007074	1e-05	1e-05
ORI	0.308121	0.557877	0.098431	1e-05	0.005636	0.00634	0.023585
ORI	0.469768	0.422424	0.058414	0.002628	1e-05	1e-05	0.046747
ORI	0.33906	0.572958	0.070802	1e-05	1e-05	1e-05	0.01715
ORI	0.35038	0.576194	0.050588	0.006078	0.002562	1e-05	0.014189
ORI	0.641825	0.24725	0.032268	0.019528	1e-05	1e-05	0.059109
ORI	0.349399	0.558555	0.073232	0.010142	1e-05	1e-05	0.008652
ORI	0.242677	0.683434	0.047448	0.002547	1e-05	0.012841	0.011044
ORI	0.235477	0.705793	0.032012	1e-05	0.001392	1e-05	0.025306
ORI	0.30996	0.604629	0.045251	0.007572	0.01465	1e-05	0.017928
ORI	0.256649	0.675088	0.044817	0.007893	0.002493	0.00495	0.008109
ORI	0.316928	0.590106	0.074768	0.010452	0.002702	0.00227	0.002774
ORI	0.311781	0.577145	0.062019	0.006836	0.010672	1e-05	0.031538
