feno,phenotype (spanish),case_v,case_nv,ctrl_v,ctrl_nv,fisher_pval,fisher_qval,Logitconst_beta,Logitconst_pval,Logitconst_qval,LogitEBVpres_beta,LogitEBVpres_pval,LogitEBVpres_qval,Logitsex_beta,Logitsex_pval,Logitsex_qval,Logitage_beta,Logitage_pval,Logitage_qval,Logitsocio_beta,Logitsocio_pval,Logitsocio_qval,Controls EBVpos,Cases EBVpos,Dif Cases-Controls
MEDICAL_RECORD.WHEEZING,HISTORIA_MEDICA.SIBILANCIAS,5,80,70,965,1,1,-2.782,8.74E-14,5.02E-13,-0.184,0.701,1,-0.192,0.452,0.636,0.007,0.347,0.441,0.114,0.186,0.422,6.76%,5.88%,-0.009
MEDICAL_RECORD.PEPTIC_ULCER,HISTORIA_MEDICA.ULCERA_PEPTICA,0,9,75,1037,1,1,-5.506,0.00000284,0.00000608,-19.282,0.999,1,-1.347,0.207,0.369,0.02,0.349,0.443,0.072,0.776,0.908,6.74%,0.00%,-0.067
MEDICAL_RECORD.HEPATITIS_C,HISTORIA_MEDICA.HEPATITIS_C,0,10,74,1032,1,1,-5.909,0.000000352,0.00000088,-31.57,1,1,-0.139,0.843,0.921,0.026,0.216,0.299,0.039,0.87,0.953,6.69%,0.00%,-0.067
MEDICAL_RECORD.DIARRHEA,HISTORIA_MEDICA.DIARREA,4,55,71,991,1,1,-3.202,2.77E-13,1.44E-12,-0.006,0.992,1,0.472,0.0875,0.197,0.003,0.72,0.789,-0.019,0.852,0.942,6.69%,6.78%,0.001
MEDICAL_RECORD.TUBERCULOSIS,HISTORIA_MEDICA.TUBERCULOSIS,0,10,75,1036,1,1,-5.403,0.000000413,0.00000102,-18.928,0.999,1,0.819,0.201,0.365,0.007,0.709,0.779,0.251,0.257,0.513,6.75%,0.00%,-0.068
MEDICAL_RECORD.ARTHRITIS_LUPUS,HISTORIA_MEDICA.ARTRITIS_LUPUS,2,32,73,1013,1,1,-6.96,1.76E-16,1.43E-15,-0.578,0.442,1,-0.887,0.044,0.116,0.067,0.000000721,0.00000356,-0.033,0.797,0.917,6.72%,5.88%,-0.008
MEDICAL_RECORD.RHEUMATIC_FEVER,HISTORIA_MEDICA.FIEBRE_REUMATICA,0,9,75,1038,1,1,-6.267,0.000000908,0.0000021,-15.304,0.995,1,-1.413,0.187,0.348,0.034,0.125,0.189,0.159,0.51,0.735,6.74%,0.00%,-0.067
MEDICAL_RECORD.EXP_IRRITANTS_ALLERGENS,HISTORIA_MEDICA.EXP_IRRITANTES_ALERGENOS,5,79,70,964,1,1,-2.503,7.96E-12,3.37E-11,-0.014,0.977,1,1.397,0.00000000328,0.0000000235,-0.014,0.0528,0.092,0.2,0.0215,0.0846,6.77%,5.95%,-0.008
MEDICAL_RECORD.HEMATURIA,HISTORIA_MEDICA.HEMATURIA,1,17,74,1028,1,1,-4.056,0.0000000979,0.00000026,-0.163,0.876,1,-0.117,0.826,0.912,-0.001,0.937,0.96,0.174,0.331,0.596,6.72%,5.56%,-0.012
MEDICAL_RECORD.POLYURIA,HISTORIA_MEDICA.POLIURIA,5,70,70,977,1,1,-3.349,3.17E-16,2.48E-15,-0.11,0.819,1,0.151,0.553,0.731,0.013,0.0804,0.131,-0.049,0.597,0.797,6.69%,6.67%,0
MENTAL_HEALTH.CRANIOENCEPHALIC_TRAUMA,SALUD_MENTAL.TRAUMA_CRANEOENCEF,5,77,70,969,1,1,-2.773,8.76E-14,5.02E-13,-0.1,0.835,1,0.7,0.00284,0.0109,0,0.967,0.981,-0.049,0.587,0.79,6.74%,6.10%,-0.006
HEARING_HEALTH.DEAF,SALUD_AUDITIVA.SORDO,0,12,75,1033,1,1,-5.715,0.0000000791,0.000000214,-19.298,0.999,1,-0.031,0.961,1,0.024,0.218,0.301,-0.27,0.243,0.501,6.77%,0.00%,-0.068
HEARING_HEALTH.MENTAL_RETARDATION,SALUD_AUDITIVA.RETRASO_MENTAL,1,13,74,1033,1,1,-4.906,0.0000000549,0.000000151,0.02,0.985,1,0.522,0.342,0.525,0.007,0.683,0.756,-0.03,0.885,0.959,6.68%,7.14%,0.005
REPRODUCTIVE_HEALTH.PREGNANCY_HIGH_SUGAR,SALUD_REPRODUCTIVA.EMBARAZO_AZUCAR_ALTA,3,45,50,622,1,1,-0.815,0.0856,0.105,0.177,0.779,1,,,,-0.043,0.000118,0.000359,0.235,0.0685,0.208,7.44%,6.25%,-0.012
