feno,phenotype (spanish),case_v,case_nv,ctrl_v,ctrl_nv,fisher_pval,fisher_qval,Logitconst_beta,Logitconst_pval,Logitconst_qval,LogitEBVpres_beta,LogitEBVpres_pval,LogitEBVpres_qval,Logitsex_beta,Logitsex_pval,Logitsex_qval,Logitage_beta,Logitage_pval,Logitage_qval,Logitsocio_beta,Logitsocio_pval,Logitsocio_qval,Controls EBVpos,Cases EBVpos,Dif Cases-Controls
MEDICAL_RECORD.MEDICINE_TREATMENT,HISTORIA_MEDICA.TRATA_MEDICAMENTO,18,195,6,106,0.377,0.938,-1.548,0.00356,0.00515,0.229,0.646,1,0.059,0.828,0.912,0.039,0.0000465,0.000154,0.084,0.379,0.637,5.36%,8.45%,0.031
INBODY.BFM_of_Trunk.above_19.9,INBODY.BFM_of_Trunk.above_19·9,22,248,52,767,0.379,0.938,-0.984,0.0000198,0.0000388,0.298,0.272,1,-0.816,0.00000305,0.0000165,0.001,0.859,0.906,0.14,0.0116,0.0522,6.35%,8.15%,0.018
HEARING_HEALTH.WORK_LOUD.above_3,SALUD_AUDITIVA.TRABAJA_RUIDOSO.above_3,8,83,67,965,0.381,0.938,-4.951,1.57E-27,6E-26,0.12,0.77,1,1.359,0.00000000453,0.0000000318,0.036,0.00000253,0.0000113,0.093,0.255,0.511,6.49%,8.79%,0.023
DISEASE_FAMILY_MEMBERS.FATHER_HYPERTENSION,ENFERMEDAD_FAMILIARES.PADRE_HIPERTENSION,20,238,46,727,0.381,0.938,-0.944,0.0000477,0.0000886,0.34,0.227,1,-0.33,0.0471,0.123,-0.002,0.619,0.701,0.137,0.0161,0.0676,5.95%,7.75%,0.018
INBODY.FFM_of_Left_Leg.above_6.11,INBODY.FFM_of_Left_Leg.above_6·11,31,486,43,529,0.381,0.938,0.796,0.00095,0.00147,-0.013,0.967,1,3.455,0,0,-0.037,5.64E-13,5.82E-12,0.162,0.00798,0.0388,7.52%,6.00%,-0.015
INBODY.Minerals.above_2.61,INBODY.Minerals.above_2·61,52,766,22,249,0.39,0.95,1.513,0.00000000223,0.00000000716,-0.095,0.745,1,3.189,6.69E-18,7.74E-17,-0.018,0.000255,0.000719,0.191,0.00208,0.0149,8.12%,6.36%,-0.018
MEDICAL_RECORD.BLURRED_VISION_DIABETES,HISTORIA_MEDICA.VISION_DISMINUIDA_DIABETES,11,129,17,130,0.39,0.95,-0.148,0.795,0.823,-0.515,0.214,1,-0.612,0.0246,0.0703,0.006,0.578,0.665,-0.153,0.112,0.299,11.56%,7.86%,-0.037
CLINICAL_METABOLIC_TEST.HEART_RATE.above_69,METABOLICOS.LATIDOS_POR_MIN.above_69,10,220,6,84,0.4,0.953,1.743,0.0000234,0.0000454,-0.412,0.451,1,-0.748,0.00679,0.024,-0.012,0.16,0.234,0.1,0.356,0.617,6.67%,4.35%,-0.023
MEDICAL_RECORD.PETS_VACCINATED,HISTORIA_MEDICA.MASCOTAS_VACUNADAS,32,525,9,109,0.402,0.953,1.042,0.00164,0.00246,-0.396,0.322,1,-0.143,0.529,0.707,0.011,0.0878,0.141,0.276,0.00126,0.0101,7.63%,5.75%,-0.019
INBODY.Weight.above_74.3,INBODY.Weight.above_74·3,41,504,33,511,0.404,0.953,0.149,0.451,0.491,0.319,0.198,1,0.563,0.0000353,0.000179,-0.007,0.0664,0.112,0.114,0.0182,0.0736,6.07%,7.52%,0.015
MEDICAL_RECORD.ACNE_PLACES.S,HISTORIA_MEDICA.ACNE_LUGARES.S,0,25,75,1018,0.405,0.953,-1.713,0.00362,0.00522,-26.804,1,1,0.213,0.627,0.778,-0.05,0.000638,0.00168,0.106,0.522,0.744,6.86%,0.00%,-0.069
PERC_PHYSICAL.APPEARANCE.above_0,PERC_FISICA.APARIENCIA.above_0,10,185,65,853,0.406,0.953,-0.655,0.007,0.00977,-0.144,0.686,1,0.686,0.0000411,0.000205,-0.024,0.00000337,0.0000147,-0.135,0.0397,0.14,7.08%,5.13%,-0.02
VISUAL_HEALTH.LENSES_CAUSES.2,SALUD_VISUAL.LENTES_CAUSAS.2,18,198,23,350,0.408,0.953,-0.889,0.00852,0.0118,0.286,0.388,1,0.063,0.742,0.855,0.006,0.366,0.46,0.034,0.61,0.806,6.17%,8.33%,0.022
CLINICAL_METABOLIC_TEST.BLOOD_GLUCOSE.above_112.5,METABOLICOS.GLUCOSA.above_112·5,41,514,34,534,0.412,0.953,-1.594,7.44E-15,4.96E-14,-0.031,0.902,1,0.03,0.823,0.911,0.032,1.36E-15,2.05E-14,-0.048,0.32,0.584,5.99%,7.39%,0.014
INBODY.BMI.above_34.4,INBODY.IMC.above_34·4,22,254,51,759,0.412,0.953,-1.159,0.000000551,0.00000134,0.228,0.401,1,-0.911,0.000000209,0.00000132,0.006,0.193,0.272,0.08,0.149,0.365,6.30%,7.97%,0.017
REPRODUCTIVE_HEALTH.MENARCHE.above_14,SALUD_REPRODUCTIVA.MENARCA.above_14,5,107,47,619,0.414,0.953,-1.955,0.0000000033,0.0000000104,-0.585,0.229,1,,,,0.004,0.512,0.602,-0.193,0.0241,0.0929,7.06%,4.46%,-0.026
MEDICAL_RECORD.CEREBRAL_STROKE,HISTORIA_MEDICA.INFARTO_CEREBRAL,3,24,72,1024,0.419,0.953,-5.319,1.01E-12,4.99E-12,0.401,0.528,1,0.644,0.106,0.231,0.025,0.0604,0.103,-0.211,0.169,0.399,6.57%,11.11%,0.045
CLINICAL_METABOLIC_TEST.BLOOD_PRESSURE_SIS.above_145,METABOLICOS.TENSION_ARTERIAL_SIS.above_145,21,243,54,805,0.419,0.953,-4.837,0,0,-0.183,0.532,1,0.365,0.0258,0.0729,0.067,1.9E-30,1.28E-28,-0.086,0.144,0.354,6.29%,7.95%,0.017
MEDICAL_RECORD.HEADACHE,HISTORIA_MEDICA.CEFALEA,17,189,58,849,0.42,0.953,-0.854,0.000442,0.00072,0.372,0.203,1,-0.52,0.00504,0.0185,-0.011,0.0268,0.0514,0.044,0.473,0.703,6.39%,8.25%,0.019
CLINICAL_METABOLIC_TEST.TRIGLYCERIDES.above_140,METABOLICOS.TRIGLICERIDOS.above_140,41,515,34,533,0.421,0.953,-0.821,0.000026,0.0000497,0.098,0.688,1,0.026,0.844,0.921,0.016,0.000026,0.0000926,0.027,0.566,0.774,6.00%,7.37%,0.014
INBODY.BMI_Body_Mass_Index.above_34.4,INBODY.BMI_Body_Mass_Index.above_34·4,22,252,52,763,0.424,0.953,-1.186,0.000000316,0.000000794,0.217,0.423,1,-0.887,0.000000434,0.00000264,0.006,0.181,0.258,0.073,0.184,0.422,6.38%,8.03%,0.016
MEDICAL_RECORD.ASTHMA,HISTORIA_MEDICA.ASMA,2,59,73,989,0.426,0.953,-1.921,0.00000205,0.00000452,-0.613,0.404,1,-0.913,0.0134,0.0423,-0.016,0.0579,0.0997,0.193,0.0642,0.198,6.87%,3.28%,-0.036
MEDICAL_RECORD.PANCREATITIS,HISTORIA_MEDICA.PANCREATITIS,1,7,74,1039,0.426,0.953,-6.166,0.0000019,0.00000422,0.658,0.547,1,-0.389,0.638,0.786,0.022,0.352,0.446,0.42,0.0877,0.251,6.65%,12.50%,0.059
HEARING_HEALTH.EXTRACTED_TEETH,SALUD_DENTAL.EXTRAIDO_DIENTES,53,686,22,362,0.428,0.953,-2.409,6.7E-25,1.51E-23,-0.312,0.276,1,-0.479,0.00213,0.00841,0.069,4.38E-42,1E-39,0.209,0.000454,0.00453,5.73%,7.17%,0.014
INBODY.BFM_PC__of_Right_Arm.above_322.35,INBODY.BFM_PC__of_Right_Arm.above_322·35,41,507,33,508,0.432,0.953,-0.626,0.0016,0.0024,0.124,0.613,1,-0.087,0.517,0.696,0.013,0.000659,0.00173,0.111,0.0212,0.0837,6.10%,7.48%,0.014
HEARING_HEALTH.LISTEN_NOISES.above_1,SALUD_AUDITIVA.ESCUCHAR_RUIDOS.above_1,6,58,69,990,0.433,0.953,-4.333,9.84E-19,1.1E-17,0.169,0.709,1,-0.268,0.358,0.54,0.03,0.00045,0.00123,-0.05,0.61,0.806,6.52%,9.38%,0.029
MEDICAL_RECORD.NAUSEA,HISTORIA_MEDICA.NAUSEA,6,58,69,989,0.433,0.953,-2.258,0.0000000223,0.000000065,0.441,0.332,1,-0.987,0.00724,0.0253,-0.008,0.358,0.452,-0.061,0.566,0.774,6.52%,9.38%,0.029
MEDICAL_RECORD.PRODUCTIVE_DRY_COUGH,HISTORIA_MEDICA.TOS_SECA_PRODUCTIVA,13,141,62,906,0.444,0.967,-1.278,0.00000216,0.00000473,0.407,0.207,1,0.035,0.853,0.925,-0.013,0.0216,0.0424,0.01,0.881,0.959,6.40%,8.44%,0.02
PAINS.STOMACH_PAIN_3M,DOLORES.DOLOR_ESTOMACAL_3M,3,27,72,1018,0.447,0.967,-2.825,0.000000567,0.00000138,0.62,0.326,1,-0.123,0.771,0.875,-0.018,0.142,0.213,0.136,0.354,0.616,6.61%,10.00%,0.034
INBODY.Obesity_Degree.above_162,INBODY.Obesity_Degree.above_162,22,254,52,761,0.447,0.967,-1.202,0.000000375,0.000000935,0.214,0.437,1,-1.428,7.51E-13,6.99E-12,0.008,0.0709,0.119,0.141,0.0125,0.0558,6.40%,7.97%,0.016
INBODY.TBW_Total_Body_Water.above_36.8,INBODY.TBW_Total_Body_Water.above_36·8,15,253,59,762,0.449,0.967,-0.959,0.000525,0.000845,-0.125,0.74,1,3.255,0,0,-0.034,0.00000000923,0.0000000601,0.212,0.00238,0.016,7.19%,5.60%,-0.016
ANTHROPOMETRY.HEIGHT.above_163.28,ANTROPOMETRIA.ESTATURA.above_163·28,15,254,60,781,0.455,0.977,-1.009,0.000791,0.00124,-0.104,0.797,1,3.964,0,0,-0.042,1.31E-10,0.00000000105,0.2,0.00763,0.0372,7.13%,5.58%,-0.016
INBODY.FFM_PC__of_Trunk.above_93.7,INBODY.FFM_PC__of_Trunk.above_93·7,59,763,15,252,0.459,0.978,1.881,6.25E-15,4.19E-14,0.407,0.178,1,0.421,0.00981,0.0325,-0.018,0.0000845,0.000265,-0.044,0.417,0.663,5.62%,7.18%,0.016
MEDICAL_RECORD.HYPERTHYROIDISM,HISTORIA_MEDICA.HIPERTIROIDISMO,1,8,73,1037,0.461,0.978,-6.003,0.0000011,0.00000251,0.424,0.695,1,-0.531,0.513,0.693,0.025,0.264,0.354,0.143,0.562,0.772,6.58%,11.11%,0.045
PERC_PHYSICAL.BREASTFEED,PERC_FISICA.AMAMANTADO,56,790,18,198,0.463,0.978,1.173,0.00000121,0.00000274,-0.279,0.329,1,-0.065,0.697,0.828,0.005,0.329,0.423,0.069,0.257,0.513,8.33%,6.62%,-0.017
CLINICAL_METABOLIC_TEST.TRIGLYCERIDES.above_200,METABOLICOS.TRIGLICERIDOS.above_200,21,247,54,801,0.466,0.978,-1.768,3.89E-14,2.37E-13,0.169,0.532,1,0.34,0.0231,0.0671,0.01,0.0297,0.056,0.065,0.229,0.482,6.32%,7.84%,0.015
VACCINATION.VAC_SEASONAL_INFLUENZA,VACUNACION.VAC_INFLUENZA_ESTA,58,764,16,271,0.466,0.978,0.858,0.0000922,0.000165,0.196,0.506,1,-0.485,0.000946,0.00395,0.007,0.117,0.179,0.078,0.153,0.371,5.57%,7.06%,0.015
MEDICAL_RECORD.EMERGENCY_SERVICE,HISTORIA_MEDICA.SERVICIO_URGENCIAS,4,66,24,236,0.471,0.978,-0.231,0.705,0.736,-0.409,0.47,1,-0.184,0.548,0.726,-0.018,0.101,0.158,-0.137,0.194,0.434,9.23%,5.71%,-0.035
MEDICAL_RECORD.ALLERGIES,HISTORIA_MEDICA.ALERGIAS,7,134,68,913,0.472,0.978,-1.735,0.00000000194,0.00000000627,-0.297,0.47,1,-0.435,0.0427,0.113,-0.003,0.654,0.73,0.223,0.00141,0.0109,6.93%,4.96%,-0.02
MEDICAL_RECORD.ARRHYTHMIAS,HISTORIA_MEDICA.ARRITMIAS,3,72,72,976,0.473,0.978,-3.02,3.48E-14,2.15E-13,-0.632,0.296,1,-0.157,0.557,0.732,0.009,0.228,0.313,0.078,0.39,0.642,6.87%,4.00%,-0.029
PAINS.HEAD_PAIN_3M,DOLORES.DOLOR_CABEZA_3M,3,76,71,971,0.477,0.982,-2.408,8.59E-11,3.23E-10,-0.599,0.322,1,-0.26,0.334,0.521,-0.002,0.831,0.887,0.055,0.542,0.756,6.81%,3.80%,-0.03
INBODY.Minerals.above_3.36,INBODY.Minerals.above_3·36,15,250,59,765,0.482,0.987,-0.624,0.0197,0.0259,-0.03,0.935,1,3.047,0,0,-0.039,2.24E-11,2.02E-10,0.178,0.00897,0.0425,7.16%,5.66%,-0.015
MEDICAL_RECORD.URINARY_INFECTION,HISTORIA_MEDICA.INFECCION_URINARIA,19,222,56,826,0.484,0.987,-1.132,0.00000261,0.00000564,0.242,0.396,1,-1.44,1.89E-11,1.6E-10,0.002,0.618,0.701,0.123,0.0375,0.133,6.35%,7.88%,0.015
REPRODUCTIVE_HEALTH.MAN_CHANGE_VOICE.above_2,SALUD_REPRODUCTIVA.HOMBRE_CAMBIO_VOZ.above_2,1,34,21,277,0.491,0.993,-1.381,0.0105,0.0143,-0.837,0.424,1,,,,-0.015,0.166,0.242,0.049,0.707,0.865,7.05%,2.86%,-0.042
PERC_PHYSICAL.GRAY_HAIRS_AGE.above_30,PERC_FISICA.CANAS_EDAD.above_30,43,553,18,181,0.493,0.993,-3.288,2.75E-15,1.94E-14,-0.75,0.0218,0.882,-0.339,0.0874,0.197,0.087,2.73E-26,1.31E-24,0.094,0.203,0.446,9.05%,7.21%,-0.018
INBODY.Height.above_163.2,INBODY.Height.above_163·2,15,249,59,766,0.493,0.993,-0.951,0.00179,0.00266,-0.093,0.819,1,3.979,0,0,-0.043,8.82E-11,7.33E-10,0.216,0.00459,0.026,7.15%,5.68%,-0.015
VACCINATION.VAC_TET_DIPHT_PERTOSUS,VACUNACION.VAC_TET_DIFTE_TOSFERINA,36,544,33,408,0.497,0.996,0.247,0.233,0.267,-0.202,0.424,1,-0.185,0.186,0.348,0.002,0.669,0.741,0.125,0.0128,0.0569,7.48%,6.21%,-0.013
INBODY.Obesity_Degree.above_141,INBODY.Obesity_Degree.above_141,40,500,34,515,0.499,0.996,0.019,0.927,0.94,0.15,0.553,1,-1.254,2.94E-18,3.64E-17,0.006,0.107,0.165,0.009,0.86,0.947,6.19%,7.41%,0.012
MEDICAL_RECORD.HEMOPTYSIS,HISTORIA_MEDICA.HEMOPTISIS,1,9,74,1036,0.501,0.996,-3.767,0.0000712,0.000129,0.64,0.553,1,0.072,0.918,0.974,-0.022,0.279,0.368,0.038,0.883,0.959,6.67%,10.00%,0.033
PAINS.KNEE_PAIN_3M,DOLORES.DOLOR_RODILLA_3M,17,197,58,849,0.507,0.997,-3.091,2.16E-27,7.49E-26,0.007,0.981,1,-0.242,0.161,0.317,0.033,1.19E-10,9.67E-10,0.089,0.129,0.328,6.39%,7.94%,0.015
CLINICAL_METABOLIC_TEST.BLOOD_PRESSURE_SIS.above_128,METABOLICOS.TENSION_ARTERIAL_SIS.above_128,40,510,35,538,0.508,0.997,-3.239,1.86E-39,2.66E-37,-0.293,0.276,1,0.88,0.00000000601,0.0000000416,0.061,1.5E-37,2.16E-35,-0.13,0.0159,0.0672,6.11%,7.27%,0.012
HEARING_HEALTH.FALLS_FREQ.above_1,SALUD_AUDITIVA.CAIDAS_FREC.above_1,1,37,74,993,0.51,0.997,-4.223,7.36E-13,3.7E-12,-1.201,0.241,1,-0.624,0.127,0.262,0.021,0.0461,0.0826,-0.105,0.419,0.665,6.94%,2.63%,-0.043
MENTAL_HEALTH.HURT_ONPURPOSE.above_1,SALUD_MENTAL.HERIDO_A_PROPOSITO.above_1,1,38,74,1009,0.511,0.997,-0.887,0.0538,0.0675,-0.529,0.609,1,-0.555,0.196,0.358,-0.055,0.00000262,0.0000116,-0.472,0.00212,0.015,6.83%,2.56%,-0.043
REPRODUCTIVE_HEALTH.HYSTERECTOMY,SALUD_REPRODUCTIVA.HISTERECTOMIA,8,87,45,640,0.513,0.997,-5.05,2.34E-25,5.59E-24,-0.101,0.809,1,,,,0.059,1.64E-12,1.63E-11,0.058,0.496,0.724,6.57%,8.42%,0.019
INBODY.Weight.above_64.125,INBODY.Weight.above_64·125,59,768,15,247,0.516,1,0.952,0.0000405,0.0000757,0.286,0.348,1,0.894,0.000000697,0.00000412,-0.001,0.817,0.874,0.161,0.0059,0.0312,5.73%,7.13%,0.014
REPRODUCTIVE_HEALTH.PREGNANCY_HEAVY_VAGINAL_BLEEDING,SALUD_REPRODUCTIVA.EMBARAZO_SANGRADO_VAGINAL_ABUND,4,35,49,633,0.521,1,-2.688,0.0000011,0.00000252,0.473,0.394,1,,,,-0.005,0.646,0.723,0.155,0.245,0.501,7.18%,10.26%,0.031
INBODY.BFM_Body_Fat_Mass.above_30.5,INBODY.BFM_Body_Fat_Mass.above_30·5,41,517,33,498,0.534,1,0.25,0.215,0.248,0.18,0.476,1,-1.135,7.47E-16,7.93E-15,0.002,0.558,0.647,0.066,0.177,0.41,6.21%,7.35%,0.011
HEARING_HEALTH.DENTAL_BLEEDING_GUMS.above_2,SALUD_DENTAL.DENTAL_SANGRADO_ENCIAS.above_2,1,10,74,1038,0.534,1,-3.069,0.000452,0.000734,0.706,0.513,1,0.412,0.516,0.696,-0.039,0.054,0.0937,-0.023,0.928,0.972,6.65%,9.09%,0.024
INBODY.BFM_of_Left_Leg.above_5.2,INBODY.BFM_of_Left_Leg.above_5·2,21,248,53,767,0.535,1,-0.89,0.000144,0.000253,0.243,0.383,1,-1.356,9.41E-12,8.25E-11,0.001,0.854,0.902,0.153,0.00721,0.0361,6.46%,7.81%,0.013
HEARING_HEALTH.CHEW_PAIN.above_1,SALUD_DENTAL.DOLOR_MASTICAR.above_1,4,41,71,1007,0.536,1,-3.543,2.05E-12,9.65E-12,0.278,0.61,1,0.316,0.323,0.509,0.004,0.645,0.723,-0.209,0.0915,0.258,6.59%,8.89%,0.023
MEDICAL_RECORD.DYSURIA,HISTORIA_MEDICA.DISURIA,5,99,70,949,0.538,1,-2.518,8.33E-14,4.85E-13,-0.43,0.368,1,-0.055,0.81,0.903,0.006,0.383,0.477,-0.041,0.613,0.807,6.87%,4.81%,-0.021
PERC_PHYSICAL.HAIR_FORM.above_O,PERC_FISICA.PELO_FORMA.above_O,9,106,66,942,0.556,1,-1.6,0.000000173,0.000000446,0.273,0.466,1,-0.34,0.143,0.287,-0.01,0.0966,0.153,-0.025,0.756,0.895,6.55%,7.83%,0.013
MEDICAL_RECORD.OLIGURIA,HISTORIA_MEDICA.OLIGURIA,4,44,71,1000,0.557,1,-3.837,3.93E-14,2.39E-13,0.151,0.781,1,0.361,0.24,0.407,0.012,0.218,0.301,-0.135,0.245,0.501,6.63%,8.33%,0.017
INBODY.Protein.above_7.4,INBODY.Protein.above_7·4,52,752,22,263,0.559,1,1.681,3.96E-11,1.53E-10,0.037,0.9,1,3.328,3.2E-19,4.37E-18,-0.024,0.00000246,0.000011,0.205,0.000911,0.0081,7.72%,6.47%,-0.013
VISUAL_HEALTH.LENSES_CAUSES.1,SALUD_VISUAL.LENTES_CAUSAS.1,7,119,34,429,0.559,1,1.159,0.00214,0.00317,0.141,0.752,1,0.292,0.211,0.372,-0.05,3.45E-11,3.02E-10,-0.101,0.246,0.501,7.34%,5.56%,-0.018
CLINICAL_METABOLIC_TEST.BLOOD_PRESSURE_SIS.above_114,METABOLICOS.TENSION_ARTERIAL_SIS.above_114,58,771,17,277,0.562,1,-2.008,1.01E-16,8.62E-16,-0.327,0.297,1,0.908,0.00000102,0.00000578,0.063,5.05E-32,4.46E-30,-0.017,0.78,0.909,5.78%,7.00%,0.012
REPRODUCTIVE_HEALTH.PATTERN_BALDNESS.above_2,SALUD_REPRODUCTIVA.PATRON_CALVICIE.above_2,5,55,17,263,0.562,1,-6.093,2.71E-13,1.42E-12,-0.057,0.921,1,,,,0.078,0.00000000222,0.0000000156,-0.012,0.916,0.97,6.07%,8.33%,0.023
INBODY.BMI_Body_Mass_Index.above_30,INBODY.BMI_Body_Mass_Index.above_30,40,506,34,509,0.564,1,0.077,0.697,0.729,0.148,0.549,1,-0.768,0.0000000199,0.000000133,0.003,0.448,0.54,0.012,0.799,0.918,6.26%,7.33%,0.011
HEARING_HEALTH.DIFFICULTY_SELFCARE.above_1,SALUD_AUDITIVA.DIFICULTAD_AUTOCUIDADO.above_1,1,11,74,1037,0.566,1,-6.824,0.0000000284,0.000000081,-0.047,0.965,1,0.26,0.666,0.807,0.039,0.0618,0.105,-0.307,0.181,0.417,6.66%,8.33%,0.017
DISEASE_FAMILY_MEMBERS.SIBLINGS_OTHER_DISEASE,ENFERMEDAD_FAMILIARES.HERMANOS_OTRA_ENFERMEDAD,2,54,68,932,0.577,1,-3.368,2.48E-13,1.3E-12,-0.776,0.291,1,-0.517,0.124,0.256,0.013,0.134,0.201,0.084,0.42,0.665,6.80%,3.57%,-0.032
MEDICAL_RECORD.MONTHS_INSULIN.above_2,HISTORIA_MEDICA.MESES_INSULINA.above_2,0,11,8,66,0.589,1,1.466,0.351,0.389,-29.945,1,1,-1.487,0.179,0.342,-0.054,0.0703,0.118,0.018,0.948,0.979,10.81%,0.00%,-0.108
VACCINATION.YEARS_VAC_SEASONAL_INFLUENZA.above_5,VACUNACION.ANIOS_VAC_INFLUE_EST.above_5,15,168,43,599,0.592,1,-2.187,4.44E-14,2.68E-13,0.105,0.74,1,-0.015,0.937,0.984,0.018,0.00118,0.00295,0.214,0.00122,0.01,6.70%,8.20%,0.015
MENTAL_HEALTH.FREQUENT_THINKING_SUICIDE.above_2,SALUD_MENTAL.FREC_PENSAR_SUICIDIO.above_2,0,17,9,141,0.6,1,-1.562,0.0484,0.0611,-19.544,0.999,1,-1.565,0.137,0.278,-0.01,0.598,0.683,-0.336,0.16,0.382,6.00%,0.00%,-0.06
INBODY.SMM_Skeletal_Muscle_Mass.above_20.3,INBODY.SMM_Skeletal_Muscle_Mass.above_20·3,53,762,21,253,0.602,1,1.759,8.4E-12,3.54E-11,0.055,0.853,1,3.261,1.61E-18,2.04E-17,-0.024,0.0000023,0.0000103,0.198,0.00151,0.0115,7.66%,6.50%,-0.012
DISEASE_FAMILY_MEMBERS.SIBLINGS_CANCER,ENFERMEDAD_FAMILIARES.HERMANOS_CANCER,5,58,68,951,0.608,1,-4.999,7.64E-21,1.12E-19,-0.141,0.775,1,-0.747,0.0219,0.0639,0.046,0.000000659,0.00000327,0.029,0.762,0.897,6.67%,7.94%,0.013
MEDICAL_RECORD.TYPE1_DIABETES,HISTORIA_MEDICA.DIABETES_TIPO1,6,47,22,219,0.608,1,-1.867,0.0119,0.0162,0.171,0.729,1,-0.442,0.226,0.391,0.008,0.552,0.641,-0.122,0.312,0.574,9.13%,11.32%,0.022
VACCINATION.QUANTITY_VAC_PNEUMOC.above_2,VACUNACION.CANTIDAD_VAC_NEUMOCOCO.above_2,0,16,11,120,0.61,1,-4.025,0.000139,0.000244,-20.66,0.999,1,0.61,0.294,0.474,0.033,0.0586,0.101,0.112,0.573,0.776,8.40%,0.00%,-0.084
MEDICAL_RECORD.ACNE_PLACES.INCLUDES_BACK,HISTORIA_MEDICA.ACNE_LUGARES.INC_ESPALDA,5,59,70,989,0.61,1,-1.387,0.000314,0.000522,0.541,0.277,1,0.534,0.0484,0.125,-0.038,0.0000126,0.0000491,0.195,0.0581,0.186,6.61%,7.81%,0.012
MEDICAL_RECORD.DEPRESSION_MOOD_DISTURB,HISTORIA_MEDICA.DEPRESION_ALTERACION_ANIMO,9,156,65,890,0.613,1,-1.54,0.0000000152,0.0000000454,-0.202,0.587,1,-0.77,0.000344,0.00154,-0.001,0.865,0.909,0.165,0.0128,0.0569,6.81%,5.45%,-0.014
CLINICAL_METABOLIC_TEST.LDL.above_103,METABOLICOS.LDL.above_103,19,231,56,814,0.614,1,-2.186,1.95E-18,2.07E-17,0.035,0.901,1,-0.371,0.0243,0.0698,0.021,0.000011,0.0000436,0.087,0.118,0.309,6.44%,7.60%,0.012
MENTAL_HEALTH.IDEATION_SUICIDE,SALUD_MENTAL.PENSADO_SUICIDARSE,9,158,66,888,0.614,1,-0.426,0.0972,0.118,-0.077,0.837,1,-0.485,0.0181,0.055,-0.025,0.00000382,0.0000165,-0.158,0.0269,0.101,6.92%,5.39%,-0.015
INBODY.BFM_Body_Fat_Mass.above_38.9,INBODY.BFM_Body_Fat_Mass.above_38·9,21,254,53,761,0.615,1,-1.012,0.0000128,0.0000255,0.189,0.494,1,-1.079,0.00000000399,0.0000000281,0.003,0.503,0.595,0.164,0.00331,0.0201,6.51%,7.64%,0.011
INBODY.FFM_of_Right_Arm.above_2.91,INBODY.FFM_of_Right_Arm.above_2·91,15,239,59,776,0.616,1,-1.31,0.00000264,0.00000571,-0.049,0.895,1,3.145,0,0,-0.027,0.00000188,0.0000086,0.145,0.0356,0.128,7.07%,5.91%,-0.012
MEDICAL_RECORD.ACNE_PLACES.INCLUDES_CHEST,HISTORIA_MEDICA.ACNE_LUGARES.INC_PECHO,0,14,75,1034,0.617,1,-3.149,0.000132,0.000234,-15.028,0.995,1,1.559,0.00595,0.0215,-0.046,0.0123,0.0257,0.229,0.259,0.515,6.76%,0.00%,-0.068
MEDICAL_RECORD.ACNE.above_1,HISTORIA_MEDICA.ACNE.above_1,3,65,72,977,0.617,1,-1.233,0.000761,0.00119,-0.197,0.747,1,-0.161,0.58,0.749,-0.032,0.00011,0.000337,-0.166,0.123,0.317,6.86%,4.41%,-0.025
REPRODUCTIVE_HEALTH.PREGNANT,SALUD_REPRODUCTIVA.EMBARAZADA,0,16,53,712,0.618,1,-2.371,0.00102,0.00158,-19.447,0.999,1,,,,-0.033,0.0531,0.0924,-0.243,0.28,0.541,6.93%,0.00%,-0.069
INBODY.FFM_PC__of_Left_Arm.above_104,INBODY.FFM_PC__of_Left_Arm.above_104,58,762,16,253,0.619,1,2.633,1.36E-23,2.74E-22,0.357,0.26,1,-1.713,3.96E-29,7.18E-28,-0.018,0.000257,0.000722,-0.046,0.428,0.67,5.95%,7.07%,0.011
INBODY.BFM_of_Left_Leg.above_4.1,INBODY.BFM_of_Left_Leg.above_4·1,40,511,34,504,0.62,1,0.359,0.0826,0.102,0.152,0.555,1,-1.544,2.26E-25,4.03E-24,0.002,0.644,0.723,0.03,0.554,0.766,6.32%,7.26%,0.009
MENTAL_HEALTH.CEREBROVASCULAR_DISEASE,SALUD_MENTAL.ENF_CEREBROVASCULAR,0,17,75,1028,0.622,1,-5.205,0.00000000139,0.00000000458,-19.922,0.999,1,0.885,0.0753,0.176,0.014,0.352,0.446,-0.13,0.494,0.721,6.80%,0.00%,-0.068
MEDICAL_RECORD.PERSONALITY_DISORDERS,HISTORIA_MEDICA.TRANSTORNOS_PERSONALIDAD,0,19,75,1025,0.632,1,-3.02,0.0000078,0.0000161,-25.432,1,1,0.14,0.78,0.882,-0.022,0.132,0.199,-0.118,0.539,0.753,6.82%,0.00%,-0.068
VISUAL_HEALTH.LENSES_CAUSES.7,SALUD_VISUAL.LENTES_CAUSAS.7,0,19,41,529,0.635,1,-3.83,0.0000472,0.0000878,-17.935,0.998,1,0.982,0.0402,0.107,0.002,0.92,0.951,-0.271,0.154,0.372,7.19%,0.00%,-0.072
MEDICAL_RECORD.PHYSICAL_ACT_TREATMENT,HISTORIA_MEDICA.TRATAMIENTO_ACT_FISICA,5,85,19,216,0.636,1,-0.054,0.92,0.934,-0.243,0.646,1,0.168,0.542,0.723,-0.017,0.0713,0.119,0.157,0.106,0.284,8.09%,5.56%,-0.025
