run	pop	proportion
_0	EUR	0.508931
_0	MX-AMR	0.37642
_0	EAS	0.034894
_0	SAS	0.031985
_0	AFR	0.047008
_0	EUR	0.265074
_0	MX-AMR	0.60878
_0	EAS	0.053543
_0	SAS	0.025595
_0	AFR	0.063953
_0	EUR	0.255258
_0	MX-AMR	0.608477
_0	EAS	0.053643
_0	SAS	0.01867
_0	AFR	0.149833
_0	EUR	0.388161
_0	MX-AMR	0.39655
_0	EAS	0.034376
_0	SAS	0.03108
_0	AFR	0.053549
_0	EUR	0.36184500000000003
_0	MX-AMR	0.522136
_0	EAS	0.035249
_0	SAS	0.02722
_0	AFR	0.060635
_0	EUR	0.635056
_0	MX-AMR	0.248653
_0	EAS	0.026636
_0	SAS	0.029019
_0	AFR	0.053848
_0	EUR	0.24213199999999999
_0	MX-AMR	0.622515
_0	EAS	0.048976
_0	SAS	0.032528
_0	AFR	0.095159
_0	EUR	0.232274
_0	MX-AMR	0.60491
_0	EAS	0.045844
_0	SAS	0.021813
_0	AFR	0.07135
_0	EUR	0.272789
_0	MX-AMR	0.582014
_0	EAS	0.051826
_0	SAS	0.022021
_0	AFR	0.087003
_0	EUR	0.301231
_0	MX-AMR	0.542975
_0	EAS	0.045382
_0	SAS	0.023409
_0	AFR	0.098125
_0	EUR	0.270554
_0	MX-AMR	0.551049
_0	EAS	0.041692
_0	SAS	0.03858
_0	AFR	0.05333
_0	EUR	0.341611
_0	MX-AMR	0.536687
_0	EAS	0.043231
_0	SAS	0.025141
_0	AFR	0.085215
_0	EUR	0.289604
_0	MX-AMR	0.563282
_0	EAS	0.041514
_0	SAS	0.020385
_0	AFR	0.066045
_0	EUR	0.491194
_0	MX-AMR	0.383167
_0	EAS	0.03734
_0	SAS	0.022254
_0	AFR	0.088741
_0	EUR	0.294496
_0	MX-AMR	0.551041
_0	EAS	0.039892
_0	SAS	0.025829
_0	AFR	0.065913
_0	EUR	0.43376
_0	MX-AMR	0.435489
_0	EAS	0.039
_0	SAS	0.025839
_0	AFR	0.027993
_0	EUR	0.369752
_0	MX-AMR	0.530619
_0	EAS	0.047281
_0	SAS	0.024355
_0	AFR	0.071723
_0	EUR	0.302513
_0	MX-AMR	0.561177
_0	EAS	0.040392
_0	SAS	0.024196
_0	AFR	0.049382
_0	EUR	0.719561
_0	MX-AMR	0.188126
_0	EAS	0.019366
_0	SAS	0.023565
_0	AFR	0.02394
_0	EUR	0.039763
_0	MX-AMR	0.856363
_0	EAS	0.059394
_0	SAS	0.020541
_0	AFR	0.068098
_0	EUR	0.23382
_0	MX-AMR	0.622421
_0	EAS	0.051994
_0	SAS	0.023667
_0	AFR	0.057531
_0	EUR	0.608153
_0	MX-AMR	0.294984
_0	EAS	0.024439
_0	SAS	0.014893
_0	AFR	0.072259
_0	EUR	0.57063
_0	MX-AMR	0.303556
_0	EAS	0.030882
_0	SAS	0.022673
_0	AFR	0.033568
_0	EUR	0.190497
_0	MX-AMR	0.691708
_0	EAS	0.059591
_0	SAS	0.024636
_0	AFR	0.058929
_0	EUR	0.250391
_0	MX-AMR	0.621138
_0	EAS	0.039219
_0	SAS	0.030323
_0	AFR	0.048795
_0	EUR	0.533378
_0	MX-AMR	0.366227
_0	EAS	0.01936
_0	SAS	0.032241
_0	AFR	0.06104
_0	EUR	0.329046
_0	MX-AMR	0.537964
_0	EAS	0.041311
_0	SAS	0.030639
_0	AFR	0.066619
_0	EUR	0.233336
_0	MX-AMR	0.626237
_0	EAS	0.047565
_0	SAS	0.026242
_0	AFR	0.061615
_0	EUR	0.224014
_0	MX-AMR	0.64203
_0	EAS	0.04549
_0	SAS	0.026851
_0	AFR	0.042294
_0	EUR	0.28771
_0	MX-AMR	0.600363
_0	EAS	0.036856
_0	SAS	0.032777
_0	AFR	0.048848
_0	EUR	0.435313
_0	MX-AMR	0.454256
_0	EAS	0.037895
_0	SAS	0.023688
_0	AFR	0.055873
_0	EUR	0.39916
_0	MX-AMR	0.486607
_0	EAS	0.033108
_0	SAS	0.025252
_0	AFR	0.080424
_0	EUR	0.323342
_0	MX-AMR	0.53545
_0	EAS	0.04135
_0	SAS	0.019433
_0	AFR	0.068786
_0	EUR	0.291066
_0	MX-AMR	0.579854
_0	EAS	0.04258
_0	SAS	0.017714
_0	AFR	0.072869
_0	EUR	0.412553
_0	MX-AMR	0.451921
_0	EAS	0.038891
_0	SAS	0.023766
_0	AFR	0.079704
_0	EUR	0.357038
_0	MX-AMR	0.49357
_0	EAS	0.041951
_0	SAS	0.027737
_0	AFR	0.054943
_0	EUR	0.358644
_0	MX-AMR	0.521487
_0	EAS	0.040896
_0	SAS	0.02403
_0	AFR	0.073527
_0	EUR	0.271249
_0	MX-AMR	0.590024
_0	EAS	0.039918
_0	SAS	0.025282
_0	AFR	0.070983
_0	EUR	0.273982
_0	MX-AMR	0.58417
_0	EAS	0.040837
_0	SAS	0.030029
_0	AFR	0.062
_0	EUR	0.307786
_0	MX-AMR	0.569236
_0	EAS	0.042005
_0	SAS	0.018973
_0	AFR	0.047441
_0	EUR	0.182686
_0	MX-AMR	0.69957
_0	EAS	0.050805
_0	SAS	0.019497
_0	AFR	0.076434
_0	EUR	0.30675
_0	MX-AMR	0.551813
_0	EAS	0.037638
_0	SAS	0.027366
_0	AFR	0.059615
_0	EUR	0.33863
_0	MX-AMR	0.535167
_0	EAS	0.038245
_0	SAS	0.028342
_0	AFR	0.079142
_0	EUR	0.503597
